attack,scheme,success_rate_mean,success_rate_std,success_rate_ci95
Replay Attack,ZK-SNARK (Groth16),0.018787157317380405,0.007278444413529054,0.005206685475941613
Replay Attack,ZK-STARK,0.014522880401784866,0.004973231585715713,0.0035576355598331746
Replay Attack,Bulletproofs,0.02845666232028713,0.0060168412700313725,0.004304188954646247
Replay Attack,ZKAuth (Proposed),0.005619767213755905,0.0031185692768141964,0.002230890068916977
Correlation Attack,ZK-SNARK (Groth16),0.04511222058094526,0.00672066726753058,0.004807675742558997
Correlation Attack,ZK-STARK,0.02309423716563951,0.004764065319718519,0.003408007026955985
Correlation Attack,Bulletproofs,0.07063929130408447,0.00879971806479824,0.006294939088248233
Correlation Attack,ZKAuth (Proposed),0.008196233137273174,0.0022010170396797504,0.0015745127394940178
Linkability Attack,ZK-SNARK (Groth16),0.05429481145120583,0.007676013520550179,0.005491089282249765
Linkability Attack,ZK-STARK,0.02894347599263216,0.004905038234768807,0.0035088529752920245
Linkability Attack,Bulletproofs,0.08713417766783248,0.00647360401036524,0.004630937335334165
Linkability Attack,ZKAuth (Proposed),0.011281584773293262,0.0025265327497287667,0.0018073726506795261
Sybil Attack,ZK-SNARK (Groth16),0.027069549415681172,0.009624827330657872,0.006885186699761307
Sybil Attack,ZK-STARK,0.01651178840066761,0.004315310783082998,0.0030869873700880993
Sybil Attack,Bulletproofs,0.047384739025216026,0.008954160313062383,0.006405420417117624
Sybil Attack,ZKAuth (Proposed),0.00632207961417048,0.001762371700720518,0.001260724766997688
